2.,T UW
3D,TH R IY D IY
3M,TH R IY EH M
401K,F OW R OW W AH N K EY
401KS,F OW R OW W AH N K EY Z
90210,N AY N OW T UW W AH N OW
<sil>,SIL
<unk>,spn
A&M,EY AE N D EH M
A'S,EY Z
A,AX
A,EY
A-AND,EY AE N D
A-PEEING,EY P IY IH NX
A-PLUS,EY P L AH S
A.'S,EY Z
A.'S.,EY Z
A.,EY
A.S,EY Z
AALIYAH,AA L IY Y AX
AAMES,EY M Z
AARON'S,EY R IH N Z
AARON,AE R AX N
AARON,EY R IH N
AB,AE B
ABA,EY B IY EY
ABACK,AX B AE K
ABACUS,AE B AX K AX S
ABADABADABABOBOBOO,AE B AX D AX B AE D AX B AX B OW B OW B UW
ABALON,AE B AX L OH N
ABALONE,AE B AX L OW N IY
ABANDON,AX B AE N D AX N
ABANDONED,AX B AE N D AX N D
ABANDONING,AX B AE N D AX N IX NX
ABANDONMENT,AX B AE N D AX N M AX N T
ABATE,AX B EY T
ABATEMENT,AX B EY T M AX N T
ABATEMENTS,AX B EY T M AX N T S
ABBA,AA B AX
ABBEY'S,AE B IY Z
ABBEY,AE B IY
ABBOT,AE B AX T
ABBOTSFORD,AE B AX T S F ER D
ABBOTT,AE B AX T
ABBREVIATE,AX B R IY V IY EY T
ABBREVIATED,AX B R IY V IY EY DX IX D
ABBREVIATION,AX B R IY V IY EY SH AX N
ABBREVIATIONS,AX B R IY V IY EY SH AX N Z
ABBVIE,AE B V IY
ABBY'S,AE B IY S
ABBY,AE B IY
ABC'S,EY B IY S IY Z
ABC,EY B IY S IY
ABD,AE B D
ABDICATED,AE B D AX K EY DX AX D
ABDICATES,AE B D AH K EY T S
ABDICATING,AE B D AX K EY DX IX NX
ABDOMEN,AE B D AX M AX N
ABDOMEN,AE B D OW M AX N
ABDOMINAL,AE B D OH M IX N AX L
ABDOMINALS,AE B D OH M IX N AX L
ABDUCT,AE B D AH K T
ABDUCTED,AE B D AH K T IX D
ABDUCTEE,AE B D AH K T IY
ABDUCTEES,AE B D AH K T IY Z
ABDUCTING,AX B D AH K T IX NX
ABDUCTION,AE B D AH K SH AX N
ABDUCTIONS,AE B D AH K SH AX N Z
ABDUL,AE B D UW L
ABE,AA B EY
ABE,EY B
ABECKER,EY B EH K AXR
ABEL,EY B AX L
ABELINE,AA B EY L AY N
ABELINE,EY B L AY N
ABENDGARDEROBE,AE B EH N D G AA R D ER OW B IY
ABERATT,AE B AX R AX T
ABERCROMBIE,AE B AXR K R OH M B IY
ABERDEEN,AE B AXR D IY N
ABERGNAIL,EY B ER G N EY L
ABERRANT,AX B EH R AX N T
ABERRATION,AE B AXR EY SH AX N
ABERRATIONS,AE B AXR EY SH AX N Z
ABETTING,AX B EH DX IX NX
ABETTOR,AX B EH T AXR
ABHOR,AE B HH AO R
ABHORRENT,AE B HH AO R AX N T
ABHORS,AE B HH AO R Z
ABIDE,AX B AY D
ABIDES,AX B AY D Z
ABIDING,AX B AY D IX NX
ABIGAIL,AE B AX G EY L
ABILENE,AE B IX L IY N
ABILITIES,AX B IH L IX DX IY Z
ABILITY,AX B IH L IX DX IY
ABINGTON,AE B IX NX T AX N
ABJECT,AE B JH EH K T
ABLE,EY B AX L
ABNORMAL,AE B N AO R M AX L
ABNORMALITIES,AE B N AO R M AE L IX DX IY Z
ABNORMALITY,AE B N AXR M AE L IX DX IY
ABNORMALLY,AE B N AO R M AX L IY
ABOARD,AX B AO R D
ABODE,AX B OW D
ABOLISH,AX B OH L IX SH
ABOLISHED,AX B OH L IX SH T
ABOLISHING,AX B OH L IX SH IX NX
ABOMINABLE,AX B OH M AX N AX B AX L
ABOMINATION,AX B OH M AX N EY SH AX N
ABORIGINAL,AE B AXR IH JH AX N AX L
ABORIGINALS,AE B AX R IH JH IH N AX L Z
ABORIGINE,AE B AX R IH JH IX N IY
ABORIGINES,AE B AXR IH JH AX N IY Z
ABORIGINES,AE B AXR IH JH IX N IY Z
ABORT,AX B AO R T
ABORTED,AX B AO R DX IX D
ABORTING,AX B AO R DX IX NX
ABORTION'S,AX B OW R SH IH N Z
ABORTION,AX B AO R SH AX N
ABORTIONIZED,AX B AO R SH AX N AY Z D
ABORTIONS,AX B AO R SH AX N Z
ABOU,AX B UW
ABOUND,AX B AW N D
ABOUNDING,AX B AW N D IX NX
ABOUT'S,AX B AW T S
ABOUT,AX B AW T
ABOUTS,AX B AW T S
ABOVE,AX B AH V
ABOVEBOARD,AX B AH V B AO R D
ABRA,EY B R AX
ABRAHAM'S,EY B R AX HH AE M Z
ABRAHAM,EY B R AX HH AE M
ABRAHAMS,EY B R AX HH AE M Z
ABRAHIM,EY B R AX HH IX M
ABRAMS,EY B R AX M Z
ABRAMSON,EY B R AX M S AX N
ABRASIVE,AX B R EY S IX V
ABREAST,AX B R EH S T
ABRIDGE,AH B R IH JH
ABRIDGED,AX B R IH JH D
ABROAD,AX B R AO D
ABRODE,AX B R OW D
ABROGATE,AE B R OW G EY T
ABRUPT,AX B R AH P T
ABRUPTLY,AX B R AH P T L IY
ABS,AE B Z
ABS,EY B IY EH S
ABSCESS,AE B S EH S
ABSCESSED,AE B S EH S T
ABSEEK,AE B S IY K
ABSENCE,AE B S AX N S
ABSENCES,AE B S AX N S IX Z
ABSENT,AE B S AX N T
ABSENTEE,AE B S AX N T IY
ABSENTEEISM,AE B S AX N T IY IH Z AX M
ABSENTEES,AE B S AX N T IY Z
ABSENTMINDEDLY,AE B S AX N T M AY N D IX D L IY
ABSERWOLF,AE B S AXR W UH L F
ABSOLUT,AE B S OW L UW T
ABSOLUTE,AE B S AX L UW T
ABSOLUTELY,AE B S AX L UW T L IY
ABSOLUTENESS,AE B S AX L UW T N AX S
ABSOLUTES,AE B S AX L UW T S
ABSOLUTIST,AE B S AX L UW DX IX S T
ABSOLVE,AE B Z OH L V
ABSORB,AE B S AO R B
ABSORB,AE B Z AO R B
ABSORBED,AX B Z AO R B D
ABSORBENT,AE B S AO R B AX N T
ABSORBENT,AE B Z AO R B AX N T
ABSORBING,AX B Z AO R B IX NX
ABSORBS,AE B S AO R B Z
ABSORBS,AE B Z AO R B Z
ABSORPTION,AE B S AO R P SH AX N
ABSTAIN,AE B S T EY N
ABSTAINING,AE B S T EY N IX NX
ABSTINENCE,AE B S T IX N AX N S
ABSTINENT,AE B S T AX N AX N T
ABSTRACT,AE B S T R AE K T
ABSTRACTING,AE B S T R AE K T IX NX
ABSTRACTION,AE B S T R AE K SH AX N
ABSTRACTLY,AX B S T R AE K T L IY
ABSTRACTS,AE B S T R AE K T S
ABSURD,AE B S ER D
ABSURD,AE B Z ER D
ABSURDEST,AE B S ER D IX S T
ABSURDIST,AX B S ER D IX S T
ABSURDITIES,AE B S ER D IX DX IY Z
